customer_id,age,salary,purchase_amount,city,membership_date,is_premium,rating,score,visits
1.0,39.0,70990.33,52.274048,Tokyo,2020-01-01 00:00:00,False,B,64.64074,4.0
2.0,33.0,63869.504,6.828938,Paris,2020-01-02 00:00:00,False,C,45.83635,6.0
3.0,41.0,50894.457,42.897,Paris,2020-01-03 00:00:00,True,B,52.87073,4.0
4.0,50.0,40295.95,11.765591,London,2020-01-04 00:00:00,False,B,3.4376857,6.0
5.0,32.0,60473.35,165.14857,Tokyo,2020-01-05 00:00:00,False,B,63.8963,4.0
6.0,32.0,55902.28,295.053,Paris,2020-01-06 00:00:00,False,B,8.144721,5.0
7.0,35.0,51571.824,7.5064635,Paris,2020-01-07 00:00:00,False,B,43.50146,6.0
8.0,42.0,59527.58,299.86377,New York,2020-01-08 00:00:00,False,C,29.26551,3.0
9.0,30.0,65743.29,73.93516,New York,2020-01-09 00:00:00,True,B,54.542793,6.0
10.0,40.0,41971.473,35.60547,London,2020-01-10 00:00:00,False,B,13.341634,2.0
11.0,30.0,69760.914,7.9976625,New York,2020-01-11 00:00:00,False,A,69.16434,8.0
12.0,35.0,52963.992,69.43965,London,2020-01-12 00:00:00,False,B,79.50115,3.0
13.0,37.0,81128.914,158.2385,Paris,2020-01-13 00:00:00,False,B,16.335445,6.0
500.5,15.0,39662.184,122.78779,London,2020-01-14 00:00:00,False,A,10.431309,4.0
15.0,17.0,76039.46,5.153123,New York,2020-01-15 00:00:00,False,A,14.551548,5.0
16.0,29.0,52968.66,7.5695825,Paris,2020-01-16 00:00:00,True,C,87.71275,6.0
17.0,24.0,40228.73,51.56259,New York,2020-01-17 00:00:00,False,B,52.818928,1.0
18.0,38.0,42741.71,34.99696,London,2020-01-18 00:00:00,False,C,46.7261,5.0
19.0,25.0,45194.79,26.44661,Tokyo,2020-01-19 00:00:00,False,C,10.671182,7.0
20.0,20.0,51571.824,32.990017,Paris,2020-01-20 00:00:00,False,A,64.9556,6.0
21.0,49.0,57842.53,162.7005,New York,2020-01-21 00:00:00,False,B,86.79996,6.0
22.0,32.0,41394.5,264.82925,London,2020-01-22 00:00:00,False,C,82.81859,7.0
23.0,35.0,49634.68,51.93665,Paris,2020-01-23 00:00:00,True,B,62.605473,4.0
24.0,20.0,82134.055,236.56421,New York,2020-01-24 00:00:00,False,B,7.5278716,3.0
25.0,29.0,75913.15,38.786446,New York,2020-01-25 00:00:00,True,A,11.239703,8.0
26.0,36.0,56544.855,64.709785,Paris,2020-01-26 00:00:00,False,B,4.9308987,4.0
27.0,23.0,50570.05,25.622087,London,2020-01-27 00:00:00,True,B,25.747921,5.0
28.0,38.0,51800.47,102.29745,Tokyo,2020-01-28 00:00:00,False,A,13.566147,5.0
29.0,28.0,59202.77,299.86377,Paris,2021-05-13 12:00:00,True,B,26.004805,3.0
30.0,32.0,34658.113,92.50618,London,2020-01-30 00:00:00,False,A,38.505806,9.0
